CNR Virus des Infections Respiratoires - France SUD;CH GIVORS;CH VALENCE
20160-COVID-19  69HCL200342;CDP ADOMA GIVORS;A01201 CHDV - Sisley
20489 RM STEER FONDATION DE FRANCE;G1341;A0302 CHDV - HDJ Intra
20750 RM AO D50874 AMBRUN PHRC;G1603 Médecine du travail;A0305 CH DROME VIVARAIS
20760 RM CHAMBRIER PHRC N 15;G2000 Médecine 8;A0308 CHDV - Urgences Psy.
20761 RM MOHKAM PHRC K 2015;G2001 Médecine SP;A0311 CHDV - UAEOC de la TOUR
20820 RM CT 69HCL18 0686 1 LAURENT BIOMERIEUX;G2002 Médecine 9B;A0313 CH DROME VIVARAIS
20821 RM CT 69HCL17 0034 3 LANTELME COVERT MI;G2003 Hopital de Jour;A0406 CHDV - Laurencin
20822 RM CT 69HCL18 0474 1 BRANCHE APICIL;G2004 Court Séjour Gériatrie;A0407 CHDV - Gauguin
20823 RM CT 69HCL18 0566 1 VANDENESCH PATHOQUEST;G2005 Hopital de Nuit;A0425 CHDV - Tapies
20824 RM CT 69HCL18 0275 1 DUMITRESCU PFIZER;G2006 Medecine;A0506 CH DROME VIVARAIS
20825 RM CT 69HCL18 0691 1 RASIGADE BIOMERIEUX;G2007 Court séjour Gériatrique;A0605 CH DROME VIVARAIS
20826 RM CT 69HCL18 0220 2 KODJIKIAN INC RESEARCH;G2100 SSR gériatrie UF2100;A0606 CH DROME VIVARAIS
20827 RM CT 69HCL18 0227 2 ZOULIM GILEAD;G2101 SSR RdC;A0704 CHDV -  HDJ Monet
20828 RM CT 69HCL18 0458 2 KODJIKIAN TFS;G2102 SSR 1er étage;A0754 CHDV - DOLTO
20829 RM CT 69HCL18 0564 2 MIAILHES GILEAD;G2103 Etats véget. chron.;A0801 CHDV - USLD Géricault
20830 RM CT 69HCL18 0649 2 KODJIKIAN NOVARTIS;G2104 SSR Polyvalent;A0810 CHDV - MAS Van Gogh
20831 RM CT 69HCL18 0301 1 LANTELME COREYE;G2106 Sejour gériatrique;A1231 CHDV - UPN2
21001 RM UF CHARGES RATTACHEES;G2111 SSR MED1;A1235 CHDV - UPN1
21011  UF POOL PAM HEH CHIRURGIE;G2112 SSR MED2;A1251 CHDV - Cézanne
21012  UF POOL BLOC PAM HEH CHIRURGIE;G2300 Maternite;A1714 SANTE AU TRAVAIL
21016  CONSULTATION PRELEVEMENT;G2301 Suivi de grossesse;A1815 CESSION MEDICAMENTS
21017 CS PRELEVEMENT;G2302 Orthogénie;A2011 HOSP CARDIOLOGIE
21018 N3 COVID PAV N;G2303 Nouveau né;A2012 HOSP S.I.C CARDIO
21019 REA CHIR NON COVID PAV H;G2304 Chirurgie Gynéco;A2013 HS CARDIOLOGIE
21020 HC PRELEVEMENTS CHIR;G3000 CS Radiologie;A2014 HJ CARDIOLOGIE
21021 CS PRELEVEMENTS CHIR;G3001 CS Echographique;A2016 CARDIO RYTHMOLOGIE RDC
21033 CS VACCINATIONS;G3005 Scanner;A2019 CS CARDIOLOGIE
21040 STATION H INNOVATION;G3200 Urgences;A2311 HOSP NEUROLOGIE
21041 INTELLIGENCE COLLECT;G3201 Suite de soins;A2312 HJ-NUIT NEUROLOGIE
21042 CONNECT IA;G3202 Lits de porte;A2313 UNITE NEUROVASC - SOINS INTENSIFS
21045 CS CENTRE DE PRELEVEMENT PCR COVID;G3315 Bloc Pneumo;A2314 UNITE NEUROVASC- DEDIES AVC
21050 CS URGENCES ODONTOLOGIQUES A RDC;G3401 CS Cardiologie;A2316 EXPLO.FONCT. NEUROLOGIQUE
21056 CS ODONTOLOGIE HOSPITALIERE PAV R;G3402 CS Neurologie;A2319 CS NEUROLOGIE
21057 REGULATION SAS LIB 69;G3403 CS Allergologie;A2329 CS MEMOIRE NEUROLOGIE
21058 REGULATION PAV M0;G3404 CS gastro entero;A2411 HOSP HEMATO-ONCOLOGIE
21062 POST URG MED PAV M0;G3405 CS Rhumatologie;A2412 HJ DE CANCEROLOGIE
21081  UF GESTION PAM HEH CHIRURGIE;G3406 CS Pneumologie;A2413 HOSP SOINS PALLIATIFS HEMATO-ONCO
21091 CS SANTE AU TRAVAIL SIEGE SERV TECHNIQ;G3407 CS Endocrinologie;A2419 CS HEMATO-ONCOLOGIE
21100 CS CRTH TROMBOPATHIES CONSTITUTIONNELLES;G3408 CS Oncologie;A2511 HOSP GASTRO-ENTEROLOGIE
21102 CHIRURGIE BRULES PAV I;G3409 CS Addictologie;A2512 HJ GASTRO-ENTEROLOGIE
21103 RM AO PLAN CANCER INCA;G3410 CS Médecine du Sport;A2513 SOINS PALLIATIFS GASTRO-ENTERO
21104 HC N3 PSY;G3411 CS de Psychiatrie;A2519 CS GASTRO-ENTEROLOGIE
21107 HC OPH C2;G3412 CS d'Anesthésie;A2611 HOSP PNEUMOLOGIE-INFECTIOLOGIE
21110 HC P A M C;G3413 CS de la Douleur;A2612 HJ-NUIT PNEUMOLOGIE-INFECTIOLOGIE
21113 HS RHUMATO F2;G3414 CS de l'Obésité;A2613 SOINS PALLIATIFS PNEUMO-INFECTIO
